message,created_time,id
2016-02-23T03:04:57+0000,"Jeremiah Johnson, pastor of Behold the Man Ministries, has announced that, while he doesn’t particularly support Trump, God is using him for a very special purpose, the Christian Post reports. “The Holy Spirit spoke to me and said, ‘Trump shall become My trumpet to the American people, for he possesses qualities that are even hard to find in My people these days. Trump does not fear man nor will he allow deception and lies to go unnoticed. I am going to use him to expose darkness and perversion in America like never before. But you must understand that he is like a bull in a china closet,'” Johnson said God told him.Johnson assures that he has no political intentions, and that the strange message was given to him apart from his personal convictions. “Many will want to throw him away because he will disturb their sense of peace and tranquility, but you must listen through the bantering to discover the truth that I will speak through him. I will use the wealth that I have given him to expose and launch investigations searching for the truth. Just as I raised up Cyrus to fulfill My purposes and plans, so have I raised up Trump to fulfill my purposes and plans prior to the 2016 election,” he continued, recounting what he claims God revealed during prayer.“You must listen to the trumpet very closely for he will sound the alarm and many will be blessed because of his compassion and mercy. Though many see the outward pride and arrogance, I have given him the tender heart of a father that wants to lend a helping hand to the poor and the needy, to the foreigner and the stranger,” Johnson’s statement ended",498654170307488_498714370301468
2016-02-23T03:21:51+0000,"trump  is right to defend and the pope is dead wrong to judge anyone.  if a man says he is a christian, that is between him and God.",498654170307488_498718960301009
2016-02-23T03:22:49+0000,Sure he should speak up for himself.,498654170307488_498719026967669
2016-02-23T03:38:24+0000,Yes,498654170307488_498721126967459
2016-02-23T01:30:21+0000,loving the comments guys  :),498650343641204_498696830303222
2016-02-23T01:31:34+0000,NOT INTO THIS ONE.,498650343641204_498697073636531
2016-02-23T01:32:02+0000,why should we want to see this,498650343641204_498697146969857
2016-02-23T01:33:38+0000,Boring!,498650343641204_498697330303172
2016-02-23T01:34:49+0000,it should not be anyones business she's the Mother leave it at that,498650343641204_498697616969810
2016-02-23T01:37:17+0000,"BORING, that slut is old news",498650343641204_498698193636419
2016-02-23T01:39:13+0000,None of our business!!!,498650343641204_498698433636395
2016-02-23T01:39:28+0000,It takes 2 to make a child if I were the father I would want to be in my child's life,498650343641204_498698456969726
2016-02-23T01:44:35+0000,None of my business.!,498650343641204_498699960302909
